,tags,coordinates,time,fav_count,review,country_code,lon,lat
175,"['Provolone', 'American', 'Bacon']","[-73.9056, 40.7]",Fri Nov 16 23:39:18 +0000 2018,0,Grilled @followyourheart #Provolone and #American Style Slices with Tomato and @Lightlife Fakin'#Bacon on… https://t.co/n7kDSQUZSW,US,-73.9056,40.7
176,"['serve', 'dinner', 'havanabowl', 'cowboybowl', 'vegan']","[-96.74368526, 32.79071121]",Fri Nov 16 23:43:53 +0000 2018,0,Who’s ready to #serve the people? 🙋🏻‍♀️🙋🏻‍♀️🥑🌱🥕🙌🏼 #dinner at @StLukeCommunity #havanabowl #cowboybowl  #vegan… https://t.co/7wSStZUP6V,US,-96.74368526,32.79071121
177,"['Vegan', 'hawaiianeats', 'healthyeating']","[-157.8615, 21.3086]",Fri Nov 16 23:49:40 +0000 2018,0,"BBQ Tempeh Plate at @peacecafehawaii #Vegan #hawaiianeats #healthyeating @ Honolulu, Hawaii https://t.co/XlUrhse2cd",US,-157.8615,21.3086
178,"['PeanutButter', 'Banana', 'ChiaSeed', 'FlaxSeed', 'DeadPrez', 'BeHealthy', 'SnowFlakeWarrior', 'TheProjectPost360']","[-115.15389, 36.10972]",Fri Nov 16 23:56:46 +0000 2018,0,"#PeanutButter
#Banana #ChiaSeed #FlaxSeed
#DeadPrez #BeHealthy
#SnowFlakeWarrior #TheProjectPost360… https://t.co/LZ4TE24Syp",US,-115.15389,36.10972
179,['detveg'],"[-83.04804943, 42.33030747]",Fri Nov 16 23:56:59 +0000 2018,0,"Shout out quickenloans for providing Vegan, Gluten Free and Nut Free snacks for us! detveg #detveg @ Detroit Free P… https://t.co/kvdO9TwfbN",US,-83.04804943,42.33030747
180,"['vegansofig', 'veganlifestyle', 'whatvegansdrink']","[-76.8882299, 40.26374]",Fri Nov 16 23:59:24 +0000 2018,0,"Vegan Hotdogs with Chipotle Black Beans and Vegan Nacho Cheese. 
#vegansofig #veganlifestyle #whatvegansdrink… https://t.co/aI50VDG8Rn",US,-76.8882299,40.26374
181,[],"[-120.9979, 37.6305]",Sat Nov 17 00:04:49 +0000 2018,0,"I'm sorry, friends – these aren't Keto friendly, they're not low-carb friendly, they're not even diet friendly, but… https://t.co/sU8VtsHSmj",US,-120.9979,37.6305
182,"['vegansofig', 'veganlifestyle', 'whatvegansdrink']","[-76.8882299, 40.26374]",Sat Nov 17 00:06:41 +0000 2018,0,"Vegan and Gluten Free Lemon Donuts with Buttercream Icing. 
#vegansofig #veganlifestyle #whatvegansdrink… https://t.co/4MIjkjCVC4",US,-76.8882299,40.26374
183,"['GloryFitness', 'gotthatgodjuice', 'praisefittour', 'love', 'fitness']","[-95.3832, 29.7629]",Sat Nov 17 00:11:12 +0000 2018,0,It's about STAMINA......Thank you @Ericthomasbtc #GloryFitness #gotthatgodjuice #praisefittour #love #fitness… https://t.co/MEcGWPSVMj,US,-95.3832,29.7629
184,[],"[-86.78921, 36.15704]",Sat Nov 17 00:15:06 +0000 2018,0,"Haven’t done this in a while. Kind of rusty. Knew diet, same goals. Always push to bring out the best version of yo… https://t.co/U7YRJbb0kl",US,-86.78921,36.15704
185,[],"[-73.95, 40.65]",Sat Nov 17 00:15:18 +0000 2018,0,Fried Chicken and Fried Cauliflower that I made for my neighbors upstairs. They aren't Vegan and is doesn't matter… https://t.co/YziUK5SEdY,US,-73.95,40.65
186,"['chestday', 'cardio', 'fitness', 'workout', 'strengthgains', 'weightloss']","[-80.6526877, 28.03636229]",Sat Nov 17 00:15:50 +0000 2018,0,#chestday heavy. 3 miles #cardio #fitness #workout #strengthgains #weightloss @ LA Fitness - MELBOURNE - HOLLYWOOD… https://t.co/u9joORiYjs,US,-80.6526877,28.03636229
187,[],"[-84.18970227, 39.6269782]",Sat Nov 17 00:24:03 +0000 2018,0,"And this is what happens when you run into @wholefoods for one thing...  You find vegan spice cake, vegan cookies,… https://t.co/vJH57mtxu6",US,-84.18970227,39.6269782
188,"['suffern', 'vegan', 'glutenfree', 'dairyfree', 'soyfree']","[-74.15054823, 41.11512278]",Sat Nov 17 00:24:10 +0000 2018,0,"AMAZING dinner tonight at Mia’s Kitchen in #suffern 
Lots of #vegan #glutenfree #dairyfree and #soyfree options...w… https://t.co/43vrj8x7Ya",US,-74.15054823,41.11512278
189,[],"[-105.05513809, 39.85410655]",Sat Nov 17 00:24:19 +0000 2018,0,"Amazing lunch this afternoon with my mommy! Coura has been to yakandyeti about 10 times since she was born, I can’t… https://t.co/Q7LFbUHa96",US,-105.05513809,39.85410655
190,"['MASTERLUKEY', 'Brand', 'LifefoodCertified', 'healthy', 'recipe', 'vegan', 'chef']","[-73.68643, 40.66184]",Sat Nov 17 00:24:45 +0000 2018,0,Almost 50g protein Power Sushi Pyramid #MASTERLUKEY #Brand #LifefoodCertified #healthy #recipe #vegan #chef @ Lifef… https://t.co/8x5pV0fLp4,US,-73.68643,40.66184
191,[],"[-105.05513809, 39.85410655]",Sat Nov 17 00:25:03 +0000 2018,0,"Amazing lunch this afternoon with my mommy! Coura has been to yakandyeti about 10 times since she was born, I can’t… https://t.co/BhGFPPIjzg",US,-105.05513809,39.85410655
192,"['crossfit', 'fitness', 'motivation', 'functionalfitness']","[-97.6726, 30.5149]",Sat Nov 17 00:34:49 +0000 2018,0,Coach Ben getting some volume snatches on (60 reps later) 😬💪🏼  #crossfit #fitness #motivation #functionalfitness… https://t.co/TYcbzbyqH5,US,-97.6726,30.5149
193,['traderjoes'],"[-73.9375, 40.84166667]",Sat Nov 17 00:35:03 +0000 2018,0,Zucchini noodles in a creamy tomato sauce with vegan italian sausage from #traderjoes. Veganilicious with glass of… https://t.co/F5hhhruL3B,US,-73.9375,40.84166667
194,"['vegan', 'plantbased']","[-90.26169, 38.64567]",Sat Nov 17 00:36:57 +0000 2018,0,This was an amazing #vegan meal. Thank you sweetlifegourmetstl. Check them out &amp; 12oh7 for great #plantbased foods.… https://t.co/nWKFJjS4JV,US,-90.26169,38.64567
195,"['MmmCake', 'germanchocolate', 'EasyStreet', 'wheatbeer', 'YoullLoveItHere', 'atmosphere', 'York', 'food']","[-97.59406134, 40.86612792]",Sat Nov 17 01:16:13 +0000 2018,0,"Diet starts Monday 

#MmmCake #germanchocolate #EasyStreet #wheatbeer #YoullLoveItHere #atmosphere #York #food @ Ch… https://t.co/Mo8IOOQi2j",US,-97.59406134,40.86612792
196,"['GreenBeauty', 'hairsalon', 'updo', 'hairstyle', 'vegan', 'crueltyfree', 'beauty', 'Willimantic']","[-72.215906, 41.7124523]",Sat Nov 17 01:21:29 +0000 2018,0,Updo with braid by Jenny. ✨🙌💚 #GreenBeauty #hairsalon #updo #hairstyle #vegan #crueltyfree #beauty #Willimantic… https://t.co/409b3f20Sb,US,-72.215906,41.7124523
